msno,city,bd,gender,registered_via,registration_init_time
A0qMZBbKazffsp78C2qTkvhxX0r2J/4t/X36nW50zSg=,13,0,female,3,20141021
yZcD9YdldBBNzV7OMJUJ7/5rWlXHuvKqVX5/KzWrX18=,1,0,,9,20141108
NMxXLA88zmGS4QAJQLGmKrPcKCTwwRtnKo6JpVaVKB4=,5,0,,9,20130206
+NCKqRM9ez4CcwsRzX6SIIj2J0FadF/3Wd5/V2LAs5g=,5,40,male,9,20110226
EjxD7eoFZ1+/jsVZc+8J79lRbHpZK+ZtyRGZFtZ0at4=,1,0,,4,20170117
oJlgfxEQnTumbDx0Fb6kspm/uUvoMRHfnjcrrky38ms=,1,0,,7,20160716
gGZX9zfnvjqQ5ULOR6P1pa3MhDDI+2KkrTw+F5MfVgk=,5,19,male,3,20160817
q8osBXbYrL+NugVTCzD8/THmJA5F5p6esuZ7b1NpA8k=,1,0,,7,20161027
X4cqc1gSbSX79qojafpyud6CvEQZNKGawTmivdefmd4=,22,50,male,9,20150324
ielptkjOkJK44C876568BJhbfiJp5TUYxihHJmXiyTU=,15,25,male,9,20120211
ur5l+RJ9n6L7h96PqgBIOfgFxSM95YzhdrA8xS1NvRQ=,22,24,male,3,20131113
XFzYD477H7zu4GEGVBzLzo1xf3svbw2B440xkL5/4Ho=,1,0,,7,20140509
14GIwgZMy58tJ7fJZdv06UQswzL7fvTr+Mszm55x81U=,1,0,,7,20140627
o4np3HQfgDMz16ikMu6hcplEY3OWYpSeeU1OMrpKb9s=,1,0,,4,20170126
3yN0qCrQnlYtjYx47iqwzsGyQd2g2ZyBv8np+TatBew=,1,0,,4,20161223
W05RuaiOMIABVWNOGK2JOopeQX51Uey73blILd+f7tE=,1,23,male,3,20170119
40CgIeOtG5lbepRrRY5lRgGLFBTS5yWjkVoT8lnObCw=,13,0,male,9,20170204
4da5jrFV9O1qOm/QdNusiJ7xZT/tzUUVkWWnnH1ebC8=,6,19,male,3,20170116
z8WB3sX4TrowU2tAAuSYwZNPJB/AAd4Bhb32yAdHvps=,1,0,,7,20170126
feCWDzuVwiVHzyGw5i0E19UEsWRyKYgfgd3VUN+aXiA=,13,31,female,4,20151008
tSoby1gHzv8nFj23XIQHCKHoGlOd7Wpwswwj8PLNLgw=,1,0,,7,20161127
aw0IUOevBvY8+iyK65lbN7Jcj6DUPM51PuXgYtJ5p40=,14,24,male,7,20161225
ZB3kx16A0VeHZR8yv6PBAxT7kFN5ibuxOljEKkNfqjw=,1,0,,7,20170115
CDPqBD/zhVaGF1LBwe2+06YeLZIH3CvgBZCMQ6RqwEA=,5,32,male,3,20130807
v8dQvofdRWViYeuetJl0RyzWbpsV0EWTh8UtfvpY8zI=,18,47,female,9,20160904
jpZN9lcdh6lWQ+NdUYRiefeGCKFvQYO6HNH8ykyrRqc=,1,0,,4,20161110
eyPYjpO3F3kAwpcG4bwvHzduQqfYZqwrAEtpFGkjXfc=,12,36,male,7,20121217
VzSNSXCZbY2VZPWdQFei7fRAOfqWcW/fnnpg3deZtj8=,15,18,male,9,20151112
DkwcBARZQbGZRdRKk13SAnyDFOR+dPrF2x8m8YKyt2c=,1,22,,9,20170108
uVR9qs7qKkqx9BSrsFxT1gOHBNQmre0EiVYozGUG1sM=,1,0,,4,20170101
5IrolAnVmBTGJnLIHkWaWmT4yRBEGodF+paOnymatio=,18,24,male,9,20071121
D1zN66PI9QNbClcEST+aWUDpc0WA3TyBRoTVW2fVaMM=,13,22,female,9,20090906
bU5PJGt/EH5mIkolp6/qoNIfRXu4D02ITba3eYFMMnQ=,1,0,,9,20170102
NtYlMAcyJuYxniuJhDBArhzBdkxr4Cz/B8VTdpFOC7E=,1,0,,7,20161119
7amZN8h3qmU1R0GvJ0fA4ubiB9KsymQp3u37YN6hiO8=,13,21,male,9,20110811
wEUOkYvyz3xTOx2p9z2Xcs4OzYsH/ZrNFUKZ+KFPf0M=,4,27,female,9,20070417
TQgtaiolM8mhKbeRz3tk8QUfcEuFoq8clYnOzI7x4SE=,1,0,,9,20141107
ve750WlMigHh6mtZrLVoMiNcbrJEKCUPtfwkHFdq52E=,13,27,female,9,20110810
MxUa13yuZ2nODO3nZ+d3rIU5S+fgda1hkvAl5xlUQGY=,1,0,,9,20160723
O6rVU3osi83LCwPniRgvGlhj4JhUFBMsHqynm7NZ3AI=,13,26,female,7,20160726
CmRRgC4/DJ63vVkdgxgUP9mlbR/+Jo5XzYVzrECgkPA=,15,17,male,4,20160729
N6+Xdv9eMaSyq3cno2addYZ/uOvI64Oy2rcVYc6/Wu0=,1,0,,7,20121206
aeVYZsUwPjdnV79jUygMGSGkaRrainugYEEHTehzTUA=,13,30,,9,20110617
Caw1ZJXpAKltm8tm9cwGS89Avel8S1+7jp/jqZrnh/E=,1,0,,7,20161202
4dcHj91MQqagPq1AbfNxLKqvrN8G0Gu2yxWvHaiGv3s=,21,21,female,9,20161221
Yvw21Ke+OLHp9FiMge6Myrg9NYPhPuU6uYBk8o+87QY=,13,40,male,9,20150502
EtpVu5D+BIrm5FHfqzBqXT950OOGh4rprs4JTaJg6qo=,1,0,,13,20170125
k7Zq5Cqn0815Iq81qURooxSxT9cscVon2ka39Pmh8ak=,1,36,female,3,20141016
w+aOsc3h6Iwj06lJLWNKeO9WyGQ1JfCex7SK9nZ232A=,1,0,,7,20160909
DJwswHiz3/hbkFYVlZVIlMHK5O4r2NonA4PX+xhJFWw=,1,0,,7,20160923
5BJMSrN+qU2LdK/C7smw/ZS9beKzvIAkQNeUU34w8Zk=,1,0,,4,20160925
75rp8sCaeatezkb6c0I133UakcSDuKcc5ia0b0Q+JS4=,1,24,male,3,20151129
rRMcozToukqTTf8DExX5EabAaB9HRWl1YliwFr2yBXE=,1,0,,7,20151129
AsAfkXKPZdLM6Os667EGi7P7L4w2E8Rkkw4emG6D7xM=,6,0,male,4,20151115
gQKk83t+af87s5Cy/wfz37p8qqCzlNHG6rUjJzRZZEI=,13,32,female,3,20120610
AcEPf81g0bqUbfBcixnemz/gIW1+XZvwGTcOgrJKnGw=,1,0,,7,20110309
8LceerR8fL6LcwedesyTdtF/4QKNdzPcgS0bU6cSo8E=,15,0,,9,20150101
sjsBHtIMH+gwUOGJjZ4Xttk+Jj/hWDTbugrmfr1g8o0=,5,36,female,9,20130502
